geo_type,region,transportation_type,alternative_name,sub-region,country,dates,relative_mobility
city,Providence,driving,NA,Rhode Island,United States,2020-05-30,130.8
city,Providence,driving,NA,Rhode Island,United States,2020-05-31,106.01
city,Providence,driving,NA,Rhode Island,United States,2020-06-01,119.54
city,Providence,driving,NA,Rhode Island,United States,2020-06-02,116.55
city,Providence,driving,NA,Rhode Island,United States,2020-06-03,117.63
city,Providence,driving,NA,Rhode Island,United States,2020-06-04,130.53
city,Providence,driving,NA,Rhode Island,United States,2020-06-05,139.27
city,Providence,driving,NA,Rhode Island,United States,2020-06-06,134.04
city,Providence,driving,NA,Rhode Island,United States,2020-06-07,109.25
city,Providence,driving,NA,Rhode Island,United States,2020-06-08,125.92
city,Providence,driving,NA,Rhode Island,United States,2020-06-09,130.4
city,Providence,driving,NA,Rhode Island,United States,2020-06-10,131.58
city,Providence,driving,NA,Rhode Island,United States,2020-06-11,124.73
city,Providence,driving,NA,Rhode Island,United States,2020-06-12,154.99
city,Providence,driving,NA,Rhode Island,United States,2020-06-13,147.41
city,Providence,driving,NA,Rhode Island,United States,2020-06-14,118.79
city,Providence,driving,NA,Rhode Island,United States,2020-06-15,126.51
city,Providence,driving,NA,Rhode Island,United States,2020-06-16,136.76
city,Providence,driving,NA,Rhode Island,United States,2020-06-17,138.38
city,Providence,driving,NA,Rhode Island,United States,2020-06-18,142.73
city,Providence,driving,NA,Rhode Island,United States,2020-06-19,163.85
city,Providence,driving,NA,Rhode Island,United States,2020-06-20,155.88
city,Providence,driving,NA,Rhode Island,United States,2020-06-21,116.08
city,Providence,driving,NA,Rhode Island,United States,2020-06-22,133.48
city,Providence,driving,NA,Rhode Island,United States,2020-06-23,147.15
city,Providence,driving,NA,Rhode Island,United States,2020-06-24,144.35
city,Providence,driving,NA,Rhode Island,United States,2020-06-25,152.89
city,Providence,driving,NA,Rhode Island,United States,2020-06-26,171.12
city,Providence,driving,NA,Rhode Island,United States,2020-06-27,150.11
city,Providence,driving,NA,Rhode Island,United States,2020-06-28,122.48
city,Providence,driving,NA,Rhode Island,United States,2020-06-29,134.85
city,Providence,driving,NA,Rhode Island,United States,2020-06-30,143.32
city,Providence,driving,NA,Rhode Island,United States,2020-07-01,148.82
city,Providence,driving,NA,Rhode Island,United States,2020-07-02,165.01
city,Providence,driving,NA,Rhode Island,United States,2020-07-03,156.2
city,Providence,driving,NA,Rhode Island,United States,2020-07-04,124.74
city,Providence,driving,NA,Rhode Island,United States,2020-07-05,120.17
city,Providence,driving,NA,Rhode Island,United States,2020-07-06,137.59
city,Providence,driving,NA,Rhode Island,United States,2020-07-07,144
city,Providence,driving,NA,Rhode Island,United States,2020-07-08,147.52
city,Providence,driving,NA,Rhode Island,United States,2020-07-09,153.03
city,Providence,driving,NA,Rhode Island,United States,2020-07-10,161.12
city,Providence,driving,NA,Rhode Island,United States,2020-07-11,160.6
city,Providence,driving,NA,Rhode Island,United States,2020-07-12,134.02
city,Providence,driving,NA,Rhode Island,United States,2020-07-13,142.02
city,Providence,driving,NA,Rhode Island,United States,2020-07-14,144.71
city,Providence,driving,NA,Rhode Island,United States,2020-07-15,151.61
city,Providence,driving,NA,Rhode Island,United States,2020-07-16,155.38
city,Providence,driving,NA,Rhode Island,United States,2020-07-17,165.29
city,Providence,driving,NA,Rhode Island,United States,2020-07-18,166.07
city,Providence,driving,NA,Rhode Island,United States,2020-07-19,131.38
city,Providence,driving,NA,Rhode Island,United States,2020-07-20,143.04
city,Providence,driving,NA,Rhode Island,United States,2020-07-21,150.29
city,Providence,driving,NA,Rhode Island,United States,2020-07-22,149.27
city,Providence,driving,NA,Rhode Island,United States,2020-07-23,150.8
city,Providence,driving,NA,Rhode Island,United States,2020-07-24,173.43
city,Providence,driving,NA,Rhode Island,United States,2020-07-25,164.7
city,Providence,driving,NA,Rhode Island,United States,2020-07-26,133.16
city,Providence,driving,NA,Rhode Island,United States,2020-07-27,146.48
city,Providence,driving,NA,Rhode Island,United States,2020-07-28,147.06
city,Providence,driving,NA,Rhode Island,United States,2020-07-29,154.53
city,Providence,driving,NA,Rhode Island,United States,2020-07-30,155.36
city,Providence,driving,NA,Rhode Island,United States,2020-07-31,170.21
city,Providence,driving,NA,Rhode Island,United States,2020-08-01,167.78
