geo_type,region,transportation_type,alternative_name,sub-region,country,dates,relative_mobility
city,Boston,driving,NA,Massachusetts,United States,2020-05-29,93.02
city,Boston,driving,NA,Massachusetts,United States,2020-05-30,89.39
city,Boston,driving,NA,Massachusetts,United States,2020-05-31,81.32
city,Boston,driving,NA,Massachusetts,United States,2020-06-01,79.13
city,Boston,driving,NA,Massachusetts,United States,2020-06-02,85.42
city,Boston,driving,NA,Massachusetts,United States,2020-06-03,84.44
city,Boston,driving,NA,Massachusetts,United States,2020-06-04,90.65
city,Boston,driving,NA,Massachusetts,United States,2020-06-05,96.93
city,Boston,driving,NA,Massachusetts,United States,2020-06-06,88.09
city,Boston,driving,NA,Massachusetts,United States,2020-06-07,74.99
city,Boston,driving,NA,Massachusetts,United States,2020-06-08,89.07
city,Boston,driving,NA,Massachusetts,United States,2020-06-09,91.63
city,Boston,driving,NA,Massachusetts,United States,2020-06-10,95.25
city,Boston,driving,NA,Massachusetts,United States,2020-06-11,91.56
city,Boston,driving,NA,Massachusetts,United States,2020-06-12,111.52
city,Boston,driving,NA,Massachusetts,United States,2020-06-13,101.07
city,Boston,driving,NA,Massachusetts,United States,2020-06-14,83.64
city,Boston,driving,NA,Massachusetts,United States,2020-06-15,93.35
city,Boston,driving,NA,Massachusetts,United States,2020-06-16,99.89
city,Boston,driving,NA,Massachusetts,United States,2020-06-17,103.56
city,Boston,driving,NA,Massachusetts,United States,2020-06-18,108.11
city,Boston,driving,NA,Massachusetts,United States,2020-06-19,120.33
city,Boston,driving,NA,Massachusetts,United States,2020-06-20,107.69
city,Boston,driving,NA,Massachusetts,United States,2020-06-21,81.29
city,Boston,driving,NA,Massachusetts,United States,2020-06-22,100.75
city,Boston,driving,NA,Massachusetts,United States,2020-06-23,109.45
city,Boston,driving,NA,Massachusetts,United States,2020-06-24,106.57
city,Boston,driving,NA,Massachusetts,United States,2020-06-25,114.54
city,Boston,driving,NA,Massachusetts,United States,2020-06-26,126.81
city,Boston,driving,NA,Massachusetts,United States,2020-06-27,105.86
city,Boston,driving,NA,Massachusetts,United States,2020-06-28,86.17
city,Boston,driving,NA,Massachusetts,United States,2020-06-29,97.94
city,Boston,driving,NA,Massachusetts,United States,2020-06-30,105.13
city,Boston,driving,NA,Massachusetts,United States,2020-07-01,112.88
city,Boston,driving,NA,Massachusetts,United States,2020-07-02,128.2
city,Boston,driving,NA,Massachusetts,United States,2020-07-03,106.77
city,Boston,driving,NA,Massachusetts,United States,2020-07-04,80.89
city,Boston,driving,NA,Massachusetts,United States,2020-07-05,83.46
city,Boston,driving,NA,Massachusetts,United States,2020-07-06,104.5
city,Boston,driving,NA,Massachusetts,United States,2020-07-07,111.41
city,Boston,driving,NA,Massachusetts,United States,2020-07-08,111.19
city,Boston,driving,NA,Massachusetts,United States,2020-07-09,117.69
city,Boston,driving,NA,Massachusetts,United States,2020-07-10,123.86
city,Boston,driving,NA,Massachusetts,United States,2020-07-11,118.57
city,Boston,driving,NA,Massachusetts,United States,2020-07-12,101.15
city,Boston,driving,NA,Massachusetts,United States,2020-07-13,105.78
city,Boston,driving,NA,Massachusetts,United States,2020-07-14,110.77
city,Boston,driving,NA,Massachusetts,United States,2020-07-15,118.94
city,Boston,driving,NA,Massachusetts,United States,2020-07-16,122.69
city,Boston,driving,NA,Massachusetts,United States,2020-07-17,127.36
city,Boston,driving,NA,Massachusetts,United States,2020-07-18,122.22
city,Boston,driving,NA,Massachusetts,United States,2020-07-19,98.56
city,Boston,driving,NA,Massachusetts,United States,2020-07-20,108.46
city,Boston,driving,NA,Massachusetts,United States,2020-07-21,117.03
city,Boston,driving,NA,Massachusetts,United States,2020-07-22,115.62
city,Boston,driving,NA,Massachusetts,United States,2020-07-23,116.21
city,Boston,driving,NA,Massachusetts,United States,2020-07-24,135.18
city,Boston,driving,NA,Massachusetts,United States,2020-07-25,123.72
city,Boston,driving,NA,Massachusetts,United States,2020-07-26,103.11
city,Boston,driving,NA,Massachusetts,United States,2020-07-27,113.36
city,Boston,driving,NA,Massachusetts,United States,2020-07-28,115.26
city,Boston,driving,NA,Massachusetts,United States,2020-07-29,121.81
city,Boston,driving,NA,Massachusetts,United States,2020-07-30,123.01
city,Boston,driving,NA,Massachusetts,United States,2020-07-31,134.9
city,Boston,driving,NA,Massachusetts,United States,2020-08-01,126.13
city,Boston,driving,NA,Massachusetts,United States,2020-08-02,98.57
city,Boston,driving,NA,Massachusetts,United States,2020-08-03,116.51
city,Boston,driving,NA,Massachusetts,United States,2020-08-04,107.76
city,Boston,driving,NA,Massachusetts,United States,2020-08-05,122.77
city,Boston,driving,NA,Massachusetts,United States,2020-08-06,127.05
city,Boston,driving,NA,Massachusetts,United States,2020-08-07,133.04
city,Boston,driving,NA,Massachusetts,United States,2020-08-08,125.28
city,Boston,driving,NA,Massachusetts,United States,2020-08-09,103.18
city,Boston,driving,NA,Massachusetts,United States,2020-08-10,115.59
city,Boston,driving,NA,Massachusetts,United States,2020-08-11,118.43
city,Boston,driving,NA,Massachusetts,United States,2020-08-12,119.6
city,Boston,driving,NA,Massachusetts,United States,2020-08-13,124.19
city,Boston,driving,NA,Massachusetts,United States,2020-08-14,136.39
