geo_type,region,transportation_type,alternative_name,sub-region,country,dates,relative_mobility
city,Seattle,driving,NA,Washington,United States,2020-06-23,138.2
city,Seattle,driving,NA,Washington,United States,2020-06-24,138.92
city,Seattle,driving,NA,Washington,United States,2020-06-25,149.86
city,Seattle,driving,NA,Washington,United States,2020-06-26,160.67
city,Seattle,driving,NA,Washington,United States,2020-06-27,132.83
city,Seattle,driving,NA,Washington,United States,2020-06-28,115.15
city,Seattle,driving,NA,Washington,United States,2020-06-29,134.72
city,Seattle,driving,NA,Washington,United States,2020-06-30,134.79
city,Seattle,driving,NA,Washington,United States,2020-07-01,140.59
city,Seattle,driving,NA,Washington,United States,2020-07-02,151.08
city,Seattle,driving,NA,Washington,United States,2020-07-03,144.39
city,Seattle,driving,NA,Washington,United States,2020-07-04,107.6
city,Seattle,driving,NA,Washington,United States,2020-07-05,108.4
city,Seattle,driving,NA,Washington,United States,2020-07-06,131.36
city,Seattle,driving,NA,Washington,United States,2020-07-07,133.51
city,Seattle,driving,NA,Washington,United States,2020-07-08,142.06
city,Seattle,driving,NA,Washington,United States,2020-07-09,145.64
city,Seattle,driving,NA,Washington,United States,2020-07-10,162.75
city,Seattle,driving,NA,Washington,United States,2020-07-11,141.72
city,Seattle,driving,NA,Washington,United States,2020-07-12,116.62
city,Seattle,driving,NA,Washington,United States,2020-07-13,139.45
city,Seattle,driving,NA,Washington,United States,2020-07-14,146.56
city,Seattle,driving,NA,Washington,United States,2020-07-15,150.73
city,Seattle,driving,NA,Washington,United States,2020-07-16,147.89
city,Seattle,driving,NA,Washington,United States,2020-07-17,158.81
city,Seattle,driving,NA,Washington,United States,2020-07-18,153
city,Seattle,driving,NA,Washington,United States,2020-07-19,128.59
city,Seattle,driving,NA,Washington,United States,2020-07-20,144.94
city,Seattle,driving,NA,Washington,United States,2020-07-21,147.3
city,Seattle,driving,NA,Washington,United States,2020-07-22,142.88
city,Seattle,driving,NA,Washington,United States,2020-07-23,145.12
city,Seattle,driving,NA,Washington,United States,2020-07-24,164.59
city,Seattle,driving,NA,Washington,United States,2020-07-25,154.92
city,Seattle,driving,NA,Washington,United States,2020-07-26,130.33
city,Seattle,driving,NA,Washington,United States,2020-07-27,146.59
city,Seattle,driving,NA,Washington,United States,2020-07-28,147.12
city,Seattle,driving,NA,Washington,United States,2020-07-29,151.08
city,Seattle,driving,NA,Washington,United States,2020-07-30,157.32
city,Seattle,driving,NA,Washington,United States,2020-07-31,173.91
city,Seattle,driving,NA,Washington,United States,2020-08-01,152.8
city,Seattle,driving,NA,Washington,United States,2020-08-02,129.62
city,Seattle,driving,NA,Washington,United States,2020-08-03,143.94
city,Seattle,driving,NA,Washington,United States,2020-08-04,152.29
city,Seattle,driving,NA,Washington,United States,2020-08-05,155.66
city,Seattle,driving,NA,Washington,United States,2020-08-06,151.15
city,Seattle,driving,NA,Washington,United States,2020-08-07,171.62
city,Seattle,driving,NA,Washington,United States,2020-08-08,146.33
city,Seattle,driving,NA,Washington,United States,2020-08-09,132.81
city,Seattle,driving,NA,Washington,United States,2020-08-10,144.51
city,Seattle,driving,NA,Washington,United States,2020-08-11,146.42
city,Seattle,driving,NA,Washington,United States,2020-08-12,148.72
city,Seattle,driving,NA,Washington,United States,2020-08-13,154.47
city,Seattle,driving,NA,Washington,United States,2020-08-14,174.98
city,Seattle,driving,NA,Washington,United States,2020-08-15,160.49
city,Seattle,driving,NA,Washington,United States,2020-08-16,135.81
city,Seattle,driving,NA,Washington,United States,2020-08-17,146.1
city,Seattle,driving,NA,Washington,United States,2020-08-18,146.46
city,Seattle,driving,NA,Washington,United States,2020-08-19,150.54
